english,spanish,song,artist
"2017 BET Hip Hop Awards - Cypher 5 Lyrics Eminem’s 2017 BET Hip-Hop Awards cypher is entirely addressed to Donald Trump. From nuclear war, to athletes taking a knee, to his financial decisions, Em assails Trump for how he’s handled current events and… It's the calm before the storm right here Wait, how was I gonna start this off? I forgot… oh yeah","2017 BET Hip Hop Awards - Letras de Cypher 5 Letras de Eminem 2017 Bet Hip -Hop Awards Cypher está completamente dirigida a Donald Trump. Desde la guerra nuclear, hasta los atletas que se arrodillan, hasta sus decisiones financieras, Em asalta a Trump por cómo ha manejado los eventos actuales y ... es la calma antes de que la tormenta aquí espere, ¿cómo iba a comenzar esto? Lo olvidé ... oh sí",Song 5,Eminem
That's an awfully hot coffee pot Should I drop it on Donald Trump? Probably not But that's all I got 'til I come up with a solid plot,"Esa es una cafetera terriblemente caliente ¿Debería dejarla en Donald Trump? Probablemente no, pero eso es todo lo que tengo hasta que se me ocurra una trama sólida",Song 5,Eminem
Got a plan and now I gotta hatch it Like a damn Apache with a tomahawk I'ma walk inside a mosque on Ramadan,"Tengo un plan y ahora tengo que eclosionarlo como un maldito Apache con un tomahawk, estoy caminando dentro de una mezquita en el Ramadán",Song 5,Eminem
"And say a prayer that every time **** talks She gets her mou— ahh, I'ma stop But we better give Obama props 'Cause what we got in office now's a kamikaze","Y di una oración que cada vez que habla, ella consigue su mou, ahh, me detengo, pero es mejor que le damos a Obama a los accesorios porque lo que tenemos en el cargo ahora es un kamikaze",Song 5,Eminem
"That'll probably cause a nuclear holocaust And while the drama pops And he waits for shit to quiet down, he'll just gas his plane up And fly around 'til the bombing stops","Eso probablemente causará un holocausto nuclear y mientras el drama aparece y espera a que la mierda se calme, simplemente gastará su avión y volará hasta que el bombardeo se detiene",Song 5,Eminem
"Intensities heightened, tensions are risin' Trump, when it comes to givin' a shit, you're stingy as I am Except when it comes to havin' the balls to go against me, you hide 'em","Las intensidades aumentadas, las tensiones son tensiones, cuando se trata de dar una mierda, eres tacaño como soy, excepto cuando se trata de tener las bolas para ir contra mí, los escondes",Song 5,Eminem
"'Cause you don't got the fuckin' nuts like an empty asylum Racism's the only thing he's fantastic for 'Cause that's how he gets his fuckin' rocks off and he's orange Yeah, sick tan That's why he wants us to disband","Porque no tienes las nueces como un asilo vacío, el racismo de asilo es lo único que es fantástico porque así es como se saca sus rocas y es naranja, sí, enfermo, por eso quiere que nos disuelvamos",Song 5,Eminem
"'Cause he cannot withstand The fact we're not afraid of Trump Fuck walkin' on egg shells, I came to stomp","Porque no puede resistir el hecho de que no tengamos miedo de que Trump se joda con cáscaras de huevo, llegué a pisotear",Song 5,Eminem
"That's why he keeps screamin', ""Drain the swamp!"" 'Cause he's in quicksand It's like we take a step forwards, then backwards But this is his form of distraction Plus, he gets an enormous reaction","Por eso sigue gritando, ""¡Drene el pantano!"" Porque está en movimientos y es como si damos un paso adelante, luego hacia atrás, pero esta es su forma de distracción y, además, recibe una enorme reacción",Song 5,Eminem
When he attacks the NFL so we focus on that in– –stead of talkin' Puerto Rico or gun reform for Nevada All these horrible tragedies and he's bored and would rather Cause a Twitter storm with the Packers,"Cuando ataca a la NFL, así que nos enfocamos en eso en: en el que se acerca a Puerto Rico o una reforma de armas para Nevada todas estas horribles tragedias y está aburrido y preferiría causar una tormenta de Twitter con los Packers",Song 5,Eminem
Then says he wants to lower our taxes Then who's gonna pay for his extravagant trips Back and forth with his fam to his golf resorts and his mansions? Same shit that he tormented Hillary for and he slandered,"Luego dice que quiere reducir nuestros impuestos, ¿quién pagará sus extravagantes viajes de ida y vuelta con su familia a sus resorts de golf y sus mansiones? La misma mierda por la que atormentó a Hillary y calumnió",Song 5,Eminem
Then does it more From his endorsement of Bannon Support for the Klansmen,Entonces lo hace más de su respaldo al apoyo de Bannon para los Klansmen,Song 5,Eminem
"Tiki torches in hand for the soldier that's black And comes home from Iraq And is still told to go back to Africa Fork and a dagger in this racist 94-year-old grandpa Who keeps ignorin' our past historical, deplorable factors",Tiki antorchas en la mano para el soldado que es negro y llega a casa de Irak y todavía se le dice que regrese a África Fork y una daga en este abuelo racista de 94 años que sigue ignorando nuestros factores históricos y deplorables pasados.,Song 5,Eminem
Now if you're a black athlete you're a spoiled little brat for Tryna use your platform or your stature To try to give those a voice who don't have one,"Ahora, si eres un atleta negro, eres un pequeño mocoso malcriado para intentar usar tu plataforma o tu estatura para tratar de darles a los que no tienen uno",Song 5,Eminem
"He says, ""You're spittin' in the face of vets who fought for us, you bastards!"" Unless you're a POW who's tortured and battered 'Cause to him you're zeros 'Cause he don't like his war heroes captured That's not disrespectin' the military","Él dice: ""¡Estás acelerando frente a los veterinarios que lucharon por nosotros, bastardos!"" A menos que seas un prisionero de guerra que sea torturado y maltratado por él, eres ceros porque no le gustan sus héroes de guerra capturados, eso no está faltando respeto a los militares",Song 5,Eminem
"Fuck that, this is for Colin, ball up a fist! And keep that shit balled like Donald the bitch! ""He's gonna get rid of all immigrants!"" ""He's gonna build that thing up taller than this!"" Well, if he does build it, I hope it's rock solid with bricks","A la mierda eso, esto es para Colin, ¡pase un puño! ¡Y mantén esa mierda volada como Donald la perra! ""¡Se deshará de todos los inmigrantes!"" ""¡Él va a construir esa cosa más alta que esto!"" Bueno, si lo construye, espero que sea sólido como una roca con ladrillos",Song 5,Eminem
"'Cause like him in politics, I'm usin' all of his tricks 'Cause I'm throwin' that piece of shit against the wall 'til it sticks And any fan of mine who's a supporter of his","Porque como él en la política, estoy usando todos sus trucos porque estoy lanzando ese pedazo de mierda contra la pared hasta que se adhiera y cualquier fanático que sea un partidario de su",Song 5,Eminem
"I'm drawing in the sand a line, you're either for or against And if you can't decide who you like more and you're split On who you should stand beside, I'll do it for you with this: The rest of America, stand up! We love our military, and we love our country","Estoy dibujando en la línea de arena, eres a favor o en contra y si no puedes decidir a quién te gusta más y estás dividido en quién debes pararte al lado, lo haré por ti con esto: el resto de América, ¡pídate! Amamos a nuestro ejército y amamos nuestro país",Song 5,Eminem
The Frog Song Lyrics I'm a little merry frog And I am another That old lady on the log,Letras de la canción de la rana I'm A Little Merry Frog y soy otra que vieja en el registro,Song 2,Maroon 5
She's our darling mother Father had his legs cut off But the Frenchmen ate them Naughty wicked cannibals!,"¡Ella es nuestra querida madre, padre, le cortaron las piernas, pero los franceses se las comieron malvados caníbales malvados!",Song 2,Maroon 5
"How we froggies hate them! Knee deep, Knee deep. Nee-deep nee-deep nee-deep nee-deep We're a pair of happy froggies Singing in the ponds and boggies","¡Cómo los odiamos! Rodilla profunda, rodilla profunda. Nee-Depe-Depe-Depe-Deep Nee-Depe-Depe, somos un par de Froggies felices cantando en los estanques y boggies",Song 2,Maroon 5
"Knee deep (etc.) When we see a naughty boy, in we go, kah-chung Good Saint Patrick, so they say Kicked us out of Erin But we're mighty glad to stay In the land that we're in","Rodilla profunda (etc.) Cuando vemos a un niño travieso, en We Go, Kah-Chung Good Saint Patrick, por lo que dicen que nos echó de Erin, pero estamos muy contentos de permanecer en la tierra en la que estamos",Song 2,Maroon 5
If the naughty boys would be And quit their naughty throwin' There's one now-- Good gracious me!,"Si los muchachos traviesos lo seran y dejaran su travieso lanzando, hay uno ahora, ¡bueno, ¡bueno!",Song 2,Maroon 5
"We had bеst be goin'! Knee deep, knee deep. Beh-dah-dee, beh-dah-dee We're a pair of happy froggies Singing in the ponds and boggies","¡Nos habíamos ido bien! Rodilla profunda, rodilla profunda. Beh-dah-dee, beh-dah-dee somos un par de ranas felices cantando en los estanques y boggies",Song 2,Maroon 5
"Knee deep, (etc.) When we see a naughty boy, in we go, kah-choo","Rodilla profunda, (etc.) Cuando vemos a un niño travieso, en We Go, Kah-Choo",Song 2,Maroon 5
Drake and Josh Theme Song OFFICIAL 2021 UPDATE Lyrics I never thought that I'd be a pedophile I found a way I found a way,Drake y Josh Temo Support Oficial 2021 Letras de la actualización. Nunca pensé que sería un pedófilo. Encontré una forma en que encontré una manera,Song 2,Drake
If you open up your thighs I feel your inside I am gonna serve some time and pay some fines Because being famous has destroyed my mind I am so horny,"Si abres los muslos, siento que tu interior, voy a servir algo de tiempo y pagaré algunas multas porque ser famoso ha destruido mi mente, estoy tan cachondo.",Song 2,Drake
My ego makes me want to have sex with underage girls to feel strong Where did I go wrong,"Mi ego me dan ganas de tener sexo con chicas menores de edad para sentirme fuerte, ¿dónde me equivocé?",Song 2,Drake
"5th Song Lyrics Probably the most introspective song from their joint project Stepbrothers, Don Trip and Starlito reflect on how hard drugs, in particular cocaine,  hit the hood, with Trip dropping a stellar verse about the… I know a lot of people might not be from where we from The following may not be my true story...but it’s still a true story","La quinta letra de las canciones probablemente la canción más introspectiva de su proyecto conjunto, Don Trip y Starlito reflexionan sobre cómo las drogas duras, en particular la cocaína, golpean el capó, con un viaje que está lanzando un verso estelar sobre ... Sé que muchas personas podrían no ser de donde nosotros de lo siguiente podemos no ser mi verdadera historia ... pero todavía es una verdadera historia.",Song 5,Prince
"Shawty sell everything in the house Flatscreens, xbox, shit even pots and pans Toaster oven, microwave, dvd, children clothes Even food stamps, just to get a gram Even pawn her baby bank, powerwheel, enfamil","Shawty vende todo en las pantallas planas de la casa, xbox, mierda, incluso ollas y sartenes horno tostador, microondas, DVD, ropa para niños, incluso cupones de alimentos, solo para obtener un gramo incluso empeñar su banco de bebé, powerwheel, enfamil",Song 5,Prince
"Shit, she’ll sell anything she can Now my kid get to eat But her kids in the street Well I sell D so I don’t give a damn","Mierda, venderá todo lo que pueda ahora, mi hijo puede comer, pero sus hijos en la calle, venden D, así que no me importa un maldad.",Song 5,Prince
"Life sucks, I don’t give a fuck She’ll get high no matter what; I might as well be the man Might as well take the dope and hit the trap with a plan Had to get my ass in and provide for my fam It’s a cold cruel world, that’s somebody’ little girl","La vida apesta, no me importa una mierda, no importa qué; También podría ser el hombre bien tomar la droga y golpear la trampa con un plan tuvo que meter mi trasero y mantener a mi familia, es un mundo cruel en frío, esa es la niña de alguien",Song 5,Prince
"Momma, grandmomma, sister, cousin, aunt Prolly even mine, how I do this to my kin? Ever since they let the cocaine in we been damned","Mamá, abuela, hermana, prima, tía, incluso la mía, ¿cómo le hago esto a mis familiares? Desde que dejaron que la cocaína nos haya condenado",Song 5,Prince
"They been at it since the 70’s, I was born in 85’ Know you want to blame me but you can’t Momma wasn’t home, daddy up and van Big brother got killed on the same block I stand Up and sold dope, all my cousins got slammed","Han estado en eso desde los años 70, nací en 85 ""Sé que quieres culparme, pero no puedes mamá no estaba en casa, papi arriba y Van Big Brother fue asesinado en el mismo bloqueo que me paro y vendí drogas, todos mis primos fueron golpeados",Song 5,Prince
Evidently this is who I am I was raised off the soul food Now I gotta get it how I can with the chickens and the yams,"Evidentemente, esto es quien soy, me levantaron la comida del alma, ahora tengo que entenderlo como puedo con los pollos y los ñames",Song 5,Prince
"Lady Gaga’s US Career Album & Single Sales, Song Streams (Feb, 2019) Lyrics On Febrary 10th, 2019, Billboard gave fans an update on Gaga’s US Album & Single Sales, plus her highest song streams. 4.8 million: The Fame","El álbum de carrera y ventas de su single de Lady Gaga, Song Streams (febrero de 2019) el 10 de febrero de 2019, Billboard le dio a los fanáticos una actualización sobre el álbum y las ventas de un solo álbum de Gaga, más sus transmisiones de canciones más altas. 4.8 millones: la fama",Song 1,Lady Gaga
"2.4 million: Born This Way 1.6 million: The Fame Monster (EP) 780,000: A Star Is Born (Soundtrack) 773,000: Cheek to Cheek (with Tony Bennett) 316,000: The Remix 62,000: Born This Way: The Remix","2.4 millones: Nacido de esta manera 1.6 millones: The Fame Monster (EP) 780,000: A Star Is Born (Banda sonora) 773,000: mejilla a mejilla (con Tony Bennett) 316,000: The Remix 62,000: Nacido de esta manera: The Remix",Song 1,Lady Gaga
"46,000: A Very Gaga Holiday 7.5 million: ""Poker Face,"" 7.2 million: ""Just Dance"" (feat. Colby O'Donis) 5.9 million; ""Bad Romance,""","46,000: unas vacaciones muy gaga 7.5 millones: ""Poker Face"", 7.2 millones: ""Just Dance"" (Feat. Colby O'Donis) 5.9 millones; ""Mal romance,""",Song 1,Lady Gaga
"4.3 million; ""Born This Way,"" 3.6 million; ""Paparazzi,"" 3.5 million; ""Telephone"" (feat. Beyonce) 3 million; ""The Edge of Glory,""","4.3 millones; ""Nacido de esta manera"", 3.6 millones; ""Paparazzi"", 3.5 millones; ""Teléfono"" (Feat. Beyonce) 3 millones; ""El borde de la gloria""",Song 1,Lady Gaga
"2.7 million; ""Applause,"" 2.67 million; ""LoveGame,"" 2.63 million; ""Alejandro,"" 2.4 million; ""You and I,""","2.7 millones; ""Aplausos"", 2.67 millones; ""Guame de amor"", 2.63 millones; ""Alejandro"", 2.4 millones; ""Tú y yo,""",Song 1,Lady Gaga
"1.3 million; ""Do What U Want"" (feat. R. Kelly) 1.1 million; ""Million Reasons,""","1.3 millones; ""Haz lo que quieras"" (feat. R. Kelly) 1.1 millones; ""Millones de razones""",Song 1,Lady Gaga
